Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
1,Apartment,Apartment,"218,000",3300,Vlaams-brabant,66,Hyper equipped,No,No,0,No,0,Yes,7,0,2,No,As new
2,Apartment,Apartment,"255,000",1083,Brussels,102,USA installed,No,No,0,No,0,Yes,10,0,0,No,As new
3,Apartment,Apartment,"367,150",1410,Waals-brabant,140,USA hyper equipped,0,No,0,No,0,Yes,14,0,0,No,As new
3,Apartment,Penthouse,"522,150",1410,Waals-brabant,149,USA hyper equipped,0,No,0,No,0,Yes,98,0,0,No,As new
3,Apartment,Penthouse,"542,150",1420,Waals-brabant,149,USA hyper equipped,0,No,0,No,0,Yes,98,0,0,No,As new
3,House,House,"159,000",5570,Namen,204,Semi equipped,No,No,0,No,0,No,0,597,0,No,Good
3,House,House,"259,000",8450,West-vlaanderen,141,Hyper equipped,No,No,0,No,0,No,0,99,0,No,Good
5,House,House,"289,000",8400,West-vlaanderen,219,Semi equipped,No,No,0,No,0,No,0,165,0,No,Good
4,House,House,"415,000",0,Unknown,150,Hyper equipped,No,Yes,1,No,0,Yes,12,428,3,No,Good
10,House,House,"619,000",8420,West-vlaanderen,273,Installed,No,No,0,No,0,No,0,215,0,No,Good
5,House,Villa,"639,000",8400,West-vlaanderen,385,Hyper equipped,No,No,0,No,0,Yes,15,843,0,No,As new
4,House,Villa,"689,000",2980,Antwerpen,390,Installed,No,No,0,No,0,No,0,1925,0,No,Good
4,House,Villa,"1,125,000",2390,Antwerpen,508,Installed,No,No,0,Yes,2500,No,0,3079,0,Yes,Good
2,Apartment,Apartment,"199,000",8400,West-vlaanderen,75,Installed,No,No,0,No,0,Yes,18,0,2,No,As new
2,Apartment,Apartment,Make,0,Unknown,100,Installed,No,No,0,No,0,Yes,12,0,2,No,Good
2,Apartment,Apartment,"229,000",0,Unknown,90,USA installed,No,No,0,No,0,Yes,6,0,3,No,Good
2,Apartment,Apartment,"235,000",2100,Antwerpen,90,Installed,No,No,0,No,0,No,0,0,2,No,Just renovated
2,Apartment,Apartment,"310,000",8490,West-vlaanderen,0,Semi equipped,No,No,0,No,0,Yes,6,0,2,No,Good
2,Apartment,Apartment,"335,000",8670,West-vlaanderen,73,Installed,No,No,0,No,0,No,0,0,4,No,As new
2,Apartment,Apartment,"345,000",0,Unknown,65,USA hyper equipped,Yes,No,0,No,0,Yes,7,0,3,No,As new
3,Apartment,Penthouse,Make,4050,Luik,124,Hyper equipped,0,No,0,No,0,Yes,40,0,0,No,As new
1,Apartment,Apartment,"375,000",0,Unknown,60,USA hyper equipped,No,No,0,No,0,Yes,20,0,4,No,As new
4,House,Bungalow,"215,000",0,Unknown,120,Not installed,No,No,0,Yes,1400,No,0,1558,4,No,Good
4,House,Villa,Make,6180,Henegouwen,140,Installed,No,No,0,Yes,530,Yes,30,600,4,No,As new
3,House,House,"285,000",8000,West-vlaanderen,150,Installed,No,No,0,Yes,1,Yes,1,200,2,No,Good
3,House,House,"369,000",2650,Antwerpen,137,Installed,No,No,0,Yes,60,No,0,160,3,No,As new
4,House,Villa,"382,000",9500,Oost-vlaanderen,0,Installed,No,No,0,No,0,No,0,750,4,No,Good
3,House,Bungalow,"419,000",3300,Vlaams-brabant,168,Installed,No,No,0,No,0,Yes,23,978,4,No,Good
5,House,House,"450,000",0,Unknown,250,Semi equipped,No,No,0,Yes,300,Yes,16,425,2,No,As new
2,House,Villa,"490,000",6530,Henegouwen,173,Hyper equipped,No,No,0,Yes,400,Yes,130,2124,4,No,As new
4,House,House,"595,000",1933,Vlaams-brabant,300,Installed,0,No,0,No,0,Yes,12,680,3,No,As new
7,Apartment,Apartment block,"649,000",0,Unknown,280,Installed,No,No,0,No,0,No,0,805,2,No,Good
1,Apartment,Ground floor,"215,000",3300,Vlaams-brabant,71,Installed,No,No,0,No,0,Yes,25,0,3,No,As new
2,Apartment,Ground floor,"285,000",3300,Vlaams-brabant,95,Installed,No,No,0,No,0,Yes,23,0,3,No,As new
2,Apartment,Apartment,"345,000",1410,Waals-brabant,104,Not installed,No,No,0,No,0,Yes,15,0,0,No,As new
3,Apartment,Apartment,"385,000",1410,Waals-brabant,119,Not installed,No,No,0,No,0,Yes,14,0,0,No,As new
3,Apartment,Apartment,"395,000",1410,Waals-brabant,118,Not installed,No,No,0,No,0,Yes,23,0,0,No,As new
3,Apartment,Apartment,"395,000",1410,Waals-brabant,119,Not installed,No,No,0,No,0,Yes,14,0,0,No,As new
3,Apartment,Apartment,"405,000",1410,Waals-brabant,118,Not installed,No,No,0,No,0,Yes,23,0,0,No,As new
2,Apartment,Penthouse,"445,000",1410,Waals-brabant,107,Not installed,No,No,0,No,0,Yes,85,0,0,No,As new
1,Apartment,Apartment,"190,000",2018,Antwerpen,30,Installed,No,No,0,No,0,No,0,0,2,No,Just renovated
1,Apartment,Apartment,"197,000",2018,Antwerpen,36,Installed,No,No,0,No,0,No,0,0,2,No,Just renovated
2,Apartment,Apartment,"210,000",0,Unknown,102,0,0,No,0,No,0,Yes,18,0,2,No,Good
1,Apartment,Apartment,"249,000",2000,Antwerpen,85,0,No,No,0,No,0,No,0,0,2,No,Good
3,Apartment,Ground floor,"249,000",9620,Oost-vlaanderen,160,Installed,No,No,0,No,0,No,0,0,0,No,Good
3,Apartment,Ground floor,"249,000",9620,Oost-vlaanderen,160,Installed,No,No,0,No,0,No,0,0,0,No,Good
2,Apartment,Apartment,"449,000",8790,West-vlaanderen,100,0,No,No,0,No,0,Yes,25,0,4,No,Unknown
3,Apartment,Apartment,"639,000",8790,West-vlaanderen,119,0,No,No,0,No,0,Yes,104,0,4,No,Unknown
2,Apartment,Apartment,"720,000",1050,Brussels,151,Installed,0,No,0,No,0,Yes,43,0,3,No,Unknown
5,House,House,"285,000",8870,West-vlaanderen,150,Hyper equipped,No,No,0,No,0,Yes,47,173,0,No,Good
5,House,Mansion,"380,000",1300,Waals-brabant,160,USA installed,No,No,0,Yes,300,Yes,15,318,2,No,As new
