Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
3,Apartment,Apartment,"620,000",0,Unknown,136,Hyper equipped,No,No,0,No,0,Yes,6,0,2,No,As new
2,Apartment,Duplex,Make,1000,Brussels,145,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
5,Apartment,Apartment,"675,000",8300,West-vlaanderen,240,Installed,No,No,0,Yes,6,No,0,0,2,No,To renovate
2,Apartment,Apartment,"690,000",0,Unknown,188,Hyper equipped,No,No,0,No,0,Yes,5,0,2,No,As new
2,Apartment,Apartment,"695,000",1050,Brussels,119,0,No,Yes,1,Yes,30,Yes,25,0,0,No,As new
2,Apartment,Apartment,"695,000",0,Unknown,130,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
2,Apartment,Apartment,"695,000",0,Unknown,140,Hyper equipped,No,No,0,No,0,Yes,2,0,4,No,As new
3,Apartment,Apartment,"695,000",0,Unknown,141,Hyper equipped,No,No,0,No,0,Yes,15,0,2,No,As new
2,Apartment,Penthouse,"735,000",0,Unknown,130,Hyper equipped,No,No,0,No,0,Yes,75,0,4,No,To be done up
3,Apartment,Loft,"735,000",8860,West-vlaanderen,660,0,No,No,0,No,0,No,0,0,4,No,Unknown
3,Apartment,Duplex,"750,000",0,Unknown,135,Hyper equipped,0,No,0,No,0,No,0,0,2,Yes,As new
2,Apartment,Loft,"790,000",0,Unknown,335,USA hyper equipped,No,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Apartment,"795,000",0,Unknown,264,Hyper equipped,No,No,0,No,0,No,0,0,3,No,As new
4,Apartment,Apartment,"795,000",0,Unknown,185,Hyper equipped,No,No,0,No,0,Yes,10,0,3,Yes,Good
5,Apartment,Duplex,"850,000",0,Unknown,201,Hyper equipped,0,No,0,No,0,Yes,125,0,2,No,Good
2,Apartment,Apartment,"980,000",1050,Brussels,210,Semi equipped,No,No,0,No,0,No,0,0,0,No,To be done up
2,Apartment,Apartment,"1,050,000",1050,Brussels,161,Hyper equipped,No,No,0,No,0,Yes,6,0,2,No,As new
4,Apartment,Apartment,"1,065,000",1000,Brussels,230,Hyper equipped,No,No,0,No,0,Yes,14,0,3,Yes,As new
3,Apartment,Apartment,"1,150,000",1180,Brussels,220,USA installed,0,No,0,No,0,Yes,20,0,0,No,As new
3,Apartment,Apartment,"1,195,000",1050,Brussels,213,Hyper equipped,0,No,0,No,0,Yes,25,0,2,No,As new
3,Apartment,Penthouse,"1,200,000",1050,Brussels,214,Hyper equipped,No,No,0,No,0,Yes,25,0,2,No,As new
2,Apartment,Penthouse,"1,250,000",2000,Antwerpen,200,Hyper equipped,No,Yes,1,No,0,Yes,25,0,4,No,Unknown
3,Apartment,Apartment,"1,295,000",1150,Brussels,210,Hyper equipped,No,No,0,No,0,Yes,54,0,3,No,As new
3,Apartment,Loft,"1,295,000",1190,Brussels,315,USA hyper equipped,No,No,0,No,0,No,0,0,2,No,As new
2,Apartment,Ground floor,"1,295,000",8300,West-vlaanderen,105,USA hyper equipped,Yes,No,0,Yes,250,Yes,20,0,3,No,As new
3,Apartment,Apartment,"1,490,000",1050,Brussels,260,Hyper equipped,No,No,0,No,0,Yes,48,0,2,No,Just renovated
3,Apartment,Apartment,"1,595,000",8300,West-vlaanderen,155,Hyper equipped,0,No,0,No,0,Yes,11,0,2,No,As new
3,Apartment,Apartment,"1,645,000",1050,Brussels,234,USA hyper equipped,No,No,0,No,0,Yes,15,0,0,Yes,As new
3,Apartment,Apartment,"1,695,000",8300,West-vlaanderen,115,USA hyper equipped,0,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Apartment,"1,700,000",1050,Brussels,216,Hyper equipped,0,No,0,No,0,No,0,0,0,No,Good
4,Apartment,Apartment,"1,790,000",1050,Brussels,300,Hyper equipped,No,No,0,No,0,Yes,60,0,0,No,Good
3,Apartment,Apartment,"1,800,000",1050,Brussels,339,Hyper equipped,No,No,0,No,0,Yes,13,0,0,Yes,As new
4,Apartment,Loft,"1,860,000",1000,Brussels,335,USA hyper equipped,No,No,0,No,0,Yes,300,0,2,No,As new
3,Apartment,Apartment,"1,900,000",1050,Brussels,345,Hyper equipped,No,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Apartment,"1,980,000",8300,West-vlaanderen,191,USA installed,No,No,0,No,0,No,0,0,3,No,As new
4,Apartment,Duplex,"1,985,000",8300,West-vlaanderen,180,Hyper equipped,Yes,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Penthouse,"2,250,000",1180,Brussels,280,Hyper equipped,No,No,0,No,0,Yes,34,0,4,No,As new
3,Apartment,Penthouse,"2,595,000",2000,Antwerpen,384,Hyper equipped,No,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Apartment,"2,695,000",8300,West-vlaanderen,150,Hyper equipped,0,No,0,No,0,Yes,10,0,2,No,As new
3,Apartment,Penthouse,"2,850,000",8300,West-vlaanderen,187,USA hyper equipped,No,No,0,No,0,No,0,0,2,No,As new
3,Apartment,Apartment,"4,350,000",1050,Brussels,362,Hyper equipped,No,No,0,Yes,80,Yes,235,0,3,No,Just renovated
3,House,Country house,"207,200",8800,West-vlaanderen,142,Hyper equipped,No,No,0,Yes,120,No,0,230,0,No,As new
5,House,House,"385,000",1780,Vlaams-brabant,220,Installed,No,No,0,Yes,190,Yes,18,279,2,No,To be done up
6,House,House,"1,199,000",1861,Vlaams-brabant,498,Installed,No,No,0,Yes,3800,Yes,100,5662,4,No,Good
1,House,House,Reserve,2140,Antwerpen,182,0,0,No,0,No,0,No,0,142,2,No,Good
0,Apartment,Apartment block,"190,000",5190,Namen,0,Not installed,No,No,0,No,0,No,0,751,3,No,Good
3,House,House,Make,0,Unknown,190,Semi equipped,No,No,0,No,0,No,0,648,4,No,To renovate
3,House,House,"365,000",9400,Oost-vlaanderen,165,Installed,0,No,0,No,0,No,0,480,0,No,As new
1,House,House,"69,500",4102,Luik,68,0,No,No,0,Yes,267,Yes,25,350,0,No,Unknown
3,House,House,"100,000",6670,Luxemburg,0,Not installed,No,No,0,No,0,No,0,364,0,No,To be done up
2,House,House,"119,000",4420,Luik,90,Not installed,No,No,0,No,0,Yes,15,143,2,No,To renovate
3,House,House,"135,000",4102,Luik,155,Semi equipped,No,No,0,Yes,145,Yes,16,254,0,No,To restore
3,House,House,"140,000",6640,Luxemburg,0,Semi equipped,No,No,0,No,0,No,0,706,0,No,To renovate
5,House,House,"150,000",4500,Luik,232,Semi equipped,No,No,0,No,0,Yes,16,220,2,No,Good
3,House,House,"165,000",0,Unknown,107,Installed,No,No,0,No,0,Yes,22,183,2,No,Just renovated
3,House,House,"165,000",0,Unknown,108,Semi equipped,No,No,0,Yes,120,Yes,40,220,2,No,Just renovated
3,House,House,"178,000",6870,Luxemburg,539,Installed,No,No,0,No,0,Yes,44,690,2,No,To be done up
4,House,House,"179,500",9600,Oost-vlaanderen,169,Installed,No,No,0,Yes,479,Yes,30,579,2,No,Good
4,House,House,"199,900",9600,Oost-vlaanderen,110,0,No,No,0,No,0,No,0,70,2,No,Good
3,House,House,"219,000",8511,West-vlaanderen,150,Installed,No,No,0,No,0,No,0,240,0,No,Good
4,House,Mixed-use building,"229,000",4180,Luik,312,Not installed,No,No,0,No,0,Yes,20,9732,4,No,To renovate
4,House,House,"229,000",4180,Luik,312,Not installed,No,No,0,No,0,Yes,20,9732,4,No,To renovate
2,House,House,"249,000",6220,Henegouwen,165,Not installed,No,Yes,1,No,0,No,0,0,0,No,To be done up
2,House,House,"260,000",6791,Luxemburg,120,Installed,No,Yes,1,Yes,50,No,0,186,0,No,Unknown
3,House,House,"282,500",9600,Oost-vlaanderen,125,Installed,No,No,0,No,0,No,0,234,3,No,Good
6,House,House,"289,000",0,Unknown,200,Installed,No,No,0,Yes,190,Yes,36,288,2,No,Just renovated
3,House,House,"299,000",4550,Luik,178,Not installed,No,No,0,No,0,No,0,1250,4,No,Unknown
4,House,House,Make,1070,Brussels,165,USA hyper equipped,No,No,0,Yes,67,No,0,152,2,No,To be done up
2,House,House,"324,000",2800,Antwerpen,130,Installed,No,No,0,Yes,125,Yes,4,200,2,No,Just renovated
4,House,House,"325,000",2830,Antwerpen,208,Semi equipped,No,No,0,No,0,No,0,194,2,No,To renovate
4,House,House,"349,000",1970,Vlaams-brabant,176,Installed,0,No,0,Yes,75,Yes,16,115,2,No,To be done up
4,House,House,"350,000",0,Unknown,120,USA installed,No,No,0,Yes,110,Yes,40,164,2,No,As new
4,House,House,"350,000",0,Unknown,120,USA installed,No,No,0,Yes,110,Yes,40,164,2,No,As new
4,House,House,"350,000",6600,Luxemburg,0,Hyper equipped,No,No,0,No,0,No,0,730,3,No,As new
2,House,House,"358,000",0,Unknown,117,Installed,0,No,0,Yes,398,No,0,463,3,No,To renovate
4,House,House,"360,000",6700,Luxemburg,142,Installed,No,No,0,No,0,No,0,90,0,No,Good
2,House,House,"365,000",8400,West-vlaanderen,190,Installed,No,No,0,No,0,No,0,1056,4,No,Good
3,House,Bungalow,"365,000",9300,Oost-vlaanderen,165,Hyper equipped,0,No,0,No,0,Yes,14,489,4,No,As new
4,House,Bungalow,"379,000",8200,West-vlaanderen,0,Semi equipped,No,No,0,No,0,No,0,540,4,No,To renovate
6,Apartment,Apartment block,"420,000",6791,Luxemburg,270,0,No,No,0,No,0,Yes,4,113,0,No,Unknown
4,House,Mixed-use building,Make,0,Unknown,270,USA hyper equipped,No,No,0,No,0,Yes,10,149,2,No,Good
5,House,House,"435,000",1070,Brussels,144,0,0,Yes,1,Yes,65,No,0,135,3,No,Unknown
3,House,Villa,"485,000",7890,Henegouwen,180,Semi equipped,No,No,0,No,0,No,0,1045,4,No,Good
4,Apartment,Apartment block,"490,000",1160,Brussels,145,Semi equipped,No,No,0,No,0,Yes,20,0,3,No,Good
5,House,House,"499,000",3300,Vlaams-brabant,400,Installed,0,No,0,No,0,No,0,485,0,No,Good
3,House,House,"530,000",0,Unknown,180,Hyper equipped,No,Yes,1,Yes,70,Yes,30,140,3,No,Good
3,House,Villa,"540,000",7090,Henegouwen,185,0,0,No,0,No,0,Yes,25,2222,4,No,Good
7,House,House,"550,000",1050,Brussels,150,0,No,No,0,No,0,No,0,52,2,No,To be done up
5,House,Town-house,"579,000",0,Unknown,200,Hyper equipped,0,Yes,1,Yes,35,Yes,6,100,2,No,As new
8,House,House,"690,000",4000,Luik,292,Not installed,No,No,0,No,0,Yes,5,0,0,No,Good
8,Apartment,Apartment block,"690,000",4000,Luik,292,Not installed,No,No,0,No,0,Yes,5,0,0,No,Good
4,House,House,"779,000",9990,Oost-vlaanderen,332,Installed,No,No,0,No,0,No,0,828,4,No,As new
5,House,Villa,"840,000",1640,Vlaams-brabant,231,USA hyper equipped,No,No,0,Yes,600,Yes,20,693,3,No,As new
4,House,House,"849,000",1180,Brussels,250,0,No,No,0,No,0,No,0,490,3,No,Unknown
6,House,House,"935,000",1420,Waals-brabant,300,Hyper equipped,No,No,0,Yes,500,Yes,25,1000,4,No,As new
6,House,House,"935,000",1421,Waals-brabant,300,Hyper equipped,No,No,0,Yes,500,Yes,25,1000,4,No,As new
6,House,House,"950,000",1160,Brussels,420,Hyper equipped,No,No,0,Yes,230,Yes,12,355,2,No,Good
4,House,Villa,"1,250,000",1380,Waals-brabant,420,Installed,No,Yes,1,No,0,Yes,12,2440,4,No,To be done up
4,House,Villa,"1,300,000",1780,Vlaams-brabant,345,Installed,No,Yes,1,No,0,No,0,1914,4,No,As new
5,House,Mansion,"1,375,000",8000,West-vlaanderen,450,Hyper equipped,No,Yes,1,Yes,126,No,0,350,2,No,Unknown
4,House,Villa,"1,695,000",1180,Brussels,450,Installed,No,No,0,Yes,350,No,0,800,3,No,Good
7,House,Villa,"1,897,500",1150,Brussels,475,Installed,No,No,0,Yes,1000,Yes,76,1195,4,No,To be done up
3,House,House,"1,990,000",1640,Vlaams-brabant,465,Installed,No,Yes,1,No,0,No,0,3500,0,No,As new
7,House,Mansion,"2,290,000",1180,Brussels,540,Installed,0,No,0,Yes,110,No,0,236,2,No,Good
5,House,Villa,"2,495,000",1180,Brussels,425,Hyper equipped,No,No,0,Yes,1667,Yes,64,1667,4,No,As new
6,House,Villa,"2,600,000",1180,Brussels,430,Installed,0,No,0,No,0,No,0,1425,4,No,Good
5,House,Villa,"2,750,000",1640,Vlaams-brabant,715,USA uninstalled,No,Yes,1,No,0,No,0,6500,4,Yes,As new
4,House,House,"3,400,000",1000,Brussels,650,Hyper equipped,No,No,0,Yes,150,Yes,20,395,2,No,Good
7,House,Villa,"5,950,000",1150,Brussels,751,Hyper equipped,No,No,0,Yes,3000,Yes,30,3000,4,Yes,As new
3,House,House,"149,000",6061,Henegouwen,160,Not installed,No,No,0,Yes,160,Yes,10,220,4,No,To renovate
5,House,Villa,"650,000",1330,Waals-brabant,175,USA installed,0,No,0,Yes,1400,No,0,1686,3,No,Good
2,Apartment,Apartment,"203,800",4960,Luik,91,0,0,No,0,No,0,Yes,9,0,0,No,Unknown
4,House,House,"339,000",9130,Oost-vlaanderen,208,Installed,No,No,0,Yes,140,Yes,12,307,3,No,Good
3,House,House,"549,000",9300,Oost-vlaanderen,219,Installed,No,No,0,No,0,No,0,123,2,No,Good
2,Apartment,Apartment,"229,500",4460,Luik,102,Installed,0,No,0,No,0,Yes,10,0,3,No,As new
2,Apartment,Triplex,"450,000",1180,Brussels,132,USA hyper equipped,No,No,0,No,0,Yes,10,0,2,No,As new
3,Apartment,Apartment,"645,000",0,Unknown,163,0,No,No,0,No,0,Yes,20,0,4,No,To be done up
3,House,House,"189,000",1450,Waals-brabant,200,Installed,No,No,0,No,0,No,0,748,0,No,To renovate
2,House,House,"199,000",4100,Luik,105,Hyper equipped,No,No,0,No,0,Yes,26,85,0,No,As new
2,House,House,"229,000",8000,West-vlaanderen,93,Installed,No,No,0,Yes,62,No,0,129,0,No,Good
6,House,House,"255,000",8370,West-vlaanderen,177,Installed,No,No,0,No,0,No,0,100,0,No,Good
3,House,House,"265,000",8370,West-vlaanderen,235,Installed,No,No,0,No,0,Yes,22,120,0,No,Good
2,House,House,"285,000",7700,Henegouwen,110,Installed,No,No,0,No,0,No,0,547,0,No,Good
4,House,House,"290,000",9000,Oost-vlaanderen,135,Installed,No,No,0,No,0,No,0,57,0,No,Good
2,House,House,"309,000",8470,West-vlaanderen,128,Hyper equipped,No,No,0,No,0,No,0,433,0,No,As new
8,Apartment,Apartment block,"795,000",1070,Brussels,408,0,No,No,0,Yes,12,Yes,24,162,2,No,To be done up
3,House,Villa,"859,500",2200,Antwerpen,235,Hyper equipped,No,No,0,No,0,No,0,2684,4,No,Unknown
3,House,Villa,"907,500",2200,Antwerpen,222,Hyper equipped,No,No,0,No,0,No,0,2613,4,No,Unknown
2,Apartment,Apartment,Reserve,2100,Antwerpen,83,Installed,0,No,0,No,0,No,0,0,2,No,To be done up
2,Apartment,Apartment,"135,000",7000,Henegouwen,120,Installed,No,No,0,No,0,Yes,3,0,2,No,As new
1,Apartment,Ground floor,"150,000",0,Unknown,51,Hyper equipped,No,No,0,Yes,6929,Yes,7,0,4,Yes,As new
1,Apartment,Ground floor,"150,000",0,Unknown,51,Hyper equipped,No,No,0,Yes,6929,Yes,7,0,4,Yes,As new
0,Apartment,Studio,"186,000",1435,Waals-brabant,46,USA installed,No,No,0,Yes,49,Yes,18,0,0,No,Unknown
2,Apartment,Apartment,"194,700",2530,Antwerpen,80,USA installed,No,No,0,No,0,No,0,0,3,No,Good
3,Apartment,Apartment,"199,000",0,Unknown,98,Semi equipped,No,No,0,No,0,Yes,10,0,3,No,Unknown
2,Apartment,Apartment,"199,000",0,Unknown,95,Installed,No,No,0,No,0,Yes,5,0,4,No,Unknown
3,Apartment,Apartment,"199,000",7160,Henegouwen,180,Hyper equipped,No,No,0,No,0,Yes,11,0,2,No,As new
1,Apartment,Apartment,"225,000",9800,Oost-vlaanderen,70,Installed,No,No,0,No,0,Yes,8,0,0,No,As new
2,Apartment,Apartment,"247,000",2600,Antwerpen,85,Installed,No,No,0,No,0,No,0,0,3,No,As new
2,Apartment,Duplex,"249,000",5100,Namen,86,Hyper equipped,0,No,0,No,0,No,0,0,3,No,As new
2,Apartment,Apartment,"265,000",1000,Brussels,90,Installed,Yes,No,0,No,0,Yes,15,0,2,No,Good
2,Apartment,Ground floor,"270,000",0,Unknown,80,Semi equipped,No,No,0,No,0,Yes,35,0,3,No,To renovate
2,Apartment,Apartment,"280,000",2880,Antwerpen,100,Installed,No,No,0,No,0,Yes,40,0,0,No,Good
2,Apartment,Apartment,"284,250",9800,Oost-vlaanderen,93,Installed,No,No,0,No,0,Yes,10,0,0,No,Unknown
2,Apartment,Apartment,"287,000",9800,Oost-vlaanderen,90,Installed,No,No,0,No,0,Yes,22,0,0,No,Unknown
2,Apartment,Apartment,"295,000",2880,Antwerpen,90,Installed,No,No,0,No,0,Yes,8,0,2,No,As new
2,Apartment,Duplex,"299,500",4100,Luik,139,Hyper equipped,No,No,0,No,0,Yes,13,0,0,No,As new
2,Apartment,Apartment,"305,000",9800,Oost-vlaanderen,94,Installed,No,No,0,No,0,Yes,13,0,0,No,Unknown
2,Apartment,Apartment,"310,000",2018,Antwerpen,114,Installed,No,No,0,No,0,Yes,3,0,0,No,Just renovated
2,Apartment,Apartment,"346,000",9800,Oost-vlaanderen,107,Installed,No,No,0,No,0,Yes,25,0,0,No,Unknown
2,Apartment,Apartment,"355,000",9820,Oost-vlaanderen,109,Installed,0,No,0,No,0,Yes,10,0,0,No,Unknown
2,Apartment,Apartment,"359,000",6700,Luxemburg,123,Not installed,No,No,0,No,0,Yes,18,0,0,No,As new
2,Apartment,Duplex,"369,000",1933,Vlaams-brabant,95,USA hyper equipped,No,No,0,No,0,Yes,10,0,2,No,As new
2,Apartment,Duplex,"369,000",1933,Vlaams-brabant,92,USA hyper equipped,No,No,0,No,0,Yes,10,0,2,No,As new
3,Apartment,Apartment,"380,000",2018,Antwerpen,105,Installed,No,No,0,No,0,Yes,9,0,2,No,As new
3,Apartment,Apartment,"395,000",0,Unknown,140,USA uninstalled,No,No,0,No,0,No,0,0,0,No,Just renovated
2,Apartment,Apartment,"395,000",9052,Oost-vlaanderen,103,0,0,No,0,No,0,Yes,31,0,0,No,Unknown
2,Apartment,Apartment,"395,000",9052,Oost-vlaanderen,103,0,0,No,0,No,0,Yes,31,0,0,No,Unknown
2,Apartment,Apartment,"396,000",9800,Oost-vlaanderen,124,Installed,No,No,0,No,0,Yes,25,0,0,No,Unknown
2,Apartment,Apartment,"399,000",2000,Antwerpen,103,Installed,No,No,0,No,0,Yes,10,0,0,No,As new
4,Apartment,Penthouse,"399,000",2100,Antwerpen,185,Hyper equipped,No,Yes,1,Yes,180,Yes,180,0,2,No,To be done up
3,Apartment,Apartment,"455,000",9052,Oost-vlaanderen,124,0,0,No,0,No,0,Yes,18,0,0,No,Unknown
1,Apartment,Loft,"457,800",2000,Antwerpen,114,Installed,0,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"560,000",3001,Vlaams-brabant,138,Hyper equipped,0,No,0,No,0,Yes,23,0,2,No,As new
3,Apartment,Apartment,"595,000",0,Unknown,125,USA hyper equipped,No,No,0,Yes,70,Yes,12,0,2,No,As new
3,Apartment,Apartment,"695,000",1150,Brussels,146,Hyper equipped,No,No,0,No,0,No,0,0,3,No,As new
2,Apartment,Apartment,"775,000",0,Unknown,145,Hyper equipped,0,No,0,No,0,No,0,0,0,No,Good
3,Apartment,Apartment,"1,195,000",8300,West-vlaanderen,184,Hyper equipped,0,Yes,2,No,0,Yes,30,0,3,No,As new
3,Apartment,Ground floor,"1,350,000",1180,Brussels,228,Hyper equipped,No,No,0,No,0,Yes,61,0,2,No,As new
4,House,House,"212,500",9050,Oost-vlaanderen,131,Semi equipped,No,No,0,No,0,No,0,0,2,No,To be done up
2,House,House,"249,000",1830,Vlaams-brabant,150,0,No,No,0,No,0,No,0,130,2,No,Unknown
4,House,House,"269,000",9630,Oost-vlaanderen,240,0,No,No,0,No,0,No,0,658,4,No,To renovate
4,House,House,"349,000",0,Unknown,165,Installed,No,No,0,Yes,100,No,0,287,2,No,Good
5,House,House,"360,000",0,Unknown,160,Installed,No,No,0,Yes,37,Yes,13,186,2,No,To renovate
3,House,Villa,"487,000",3300,Vlaams-brabant,227,USA installed,No,Yes,1,Yes,650,Yes,20,800,4,No,Good
3,House,House,"550,000",0,Unknown,145,Hyper equipped,No,No,0,Yes,40,Yes,20,127,3,No,To be done up
